COD_DANE_A,MPIO_CDPMP,CLAS_CCDGO,TVIVIENDA,TP16_HOG,TP19_EE_1,TP19_EE_E1,TP19_EE_E2,TP19_EE_E3,TP19_EE_E4,TP19_EE_E5,TP19_EE_E6,TP27_PERSO,area_ha,medidores,med_residencial,med_comercial,med_industrial,med_dentro,med_cercano,med_ambiguo,med_dir,consumo_prom,consumo_mediana,estrato_moda,med_estrato1,med_estrato2,med_estrato3,med_estrato4,med_estrato5,med_estrato6,med_x_vivienda,med_x_ha
0500110000000006010623,05001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35856045647247775,6.0,1.0,3.0,0.0,2.0,4.0,0.0,0.0,50.9,50.9,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,16.7
0500110000000006010624,05001,1,47.0,33.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,94.0,0.1192273221179125,44.0,39.0,0.0,0.0,29.0,15.0,0.0,0.0,127.5,134.0,2.0,0.0,39.0,0.0,0.0,0.0,0.0,0.94,369.0
0500110000000006010626,05001,1,21.0,21.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,74.0,0.04661169354700244,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,130.9,119.5,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.95,429.1
0500110000000006010627,05001,1,21.0,17.0,16.0,1.0,15.0,0.0,0.0,0.0,0.0,57.0,0.09248887505113731,16.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,117.1,110.2,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.76,173.0
0500110000000006010628,05001,1,21.0,13.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,33.0,0.04180308818784996,19.0,19.0,0.0,0.0,15.0,4.0,2.0,0.0,90.2,84.2,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.9,454.5
0500110000000006010629,05001,1,9.0,9.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,33.0,0.05412167541314566,8.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,145.0,120.6,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.89,147.8
0500110000000006010702,05001,1,23.0,18.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,57.0,0.10820484071413652,23.0,23.0,0.0,0.0,18.0,5.0,3.0,0.0,128.5,99.1,2.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,212.6
0500110000000006010705,05001,1,36.0,33.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,120.0,0.09841729100951882,32.0,31.0,1.0,0.0,23.0,9.0,3.0,0.0,116.2,103.7,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0.89,325.1
0500110000000006010706,05001,1,47.0,40.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,145.0,0.18744150390137193,47.0,46.0,1.0,0.0,25.0,22.0,6.0,0.0,125.4,88.6,2.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,250.7
0500110000000006010709,05001,1,57.0,51.0,51.0,1.0,50.0,0.0,0.0,0.0,0.0,150.0,0.1689499104924277,52.0,51.0,1.0,0.0,17.0,35.0,6.0,0.0,112.2,104.4,2.0,0.0,51.0,0.0,0.0,0.0,0.0,0.91,307.8
0500110000000006010711,05001,1,113.0,100.0,99.0,0.0,98.0,1.0,0.0,0.0,0.0,297.0,0.34166253366578153,92.0,90.0,1.0,0.0,35.0,57.0,0.0,0.0,127.9,116.6,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.81,269.3
0500110000000006010712,05001,1,50.0,43.0,43.0,2.0,41.0,0.0,0.0,0.0,0.0,142.0,0.12580823873219632,33.0,30.0,3.0,0.0,18.0,15.0,6.0,0.0,111.9,97.8,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.66,262.3
0500110000000006010714,05001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03445890453774063,5.0,5.0,0.0,0.0,2.0,3.0,3.0,0.0,141.3,142.8,2.0,0.0,5.0,0.0,0.0,0.0,0.0,,145.1
0500110000000006010715,05001,1,55.0,43.0,43.0,0.0,43.0,0.0,0.0,0.0,0.0,153.0,0.14513881736433773,23.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,122.9,108.2,2.0,0.0,23.0,0.0,0.0,0.0,0.0,0.42,158.5
0500110000000006010716,05001,1,54.0,49.0,49.0,0.0,49.0,0.0,0.0,0.0,0.0,175.0,0.1479478484000799,42.0,42.0,0.0,0.0,39.0,3.0,2.0,0.0,143.5,126.4,2.0,0.0,42.0,0.0,0.0,0.0,0.0,0.78,283.9
0500110000000006010717,05001,1,62.0,54.0,54.0,0.0,54.0,0.0,0.0,0.0,0.0,196.0,0.18302176717408195,46.0,46.0,0.0,0.0,26.0,20.0,0.0,0.0,141.9,133.4,2.0,0.0,46.0,0.0,0.0,0.0,0.0,0.74,251.3
0500110000000006010718,05001,1,57.0,48.0,48.0,0.0,48.0,0.0,0.0,0.0,0.0,182.0,0.25736068045863725,52.0,51.0,1.0,0.0,30.0,22.0,0.0,0.0,160.2,141.2,2.0,0.0,51.0,0.0,0.0,0.0,0.0,0.91,202.1
0500110000000006010719,05001,1,20.0,19.0,19.0,0.0,17.0,2.0,0.0,0.0,0.0,47.0,0.13640841760783892,23.0,22.0,0.0,1.0,14.0,9.0,4.0,0.0,158.7,150.8,2.0,0.0,22.0,0.0,0.0,0.0,0.0,1.15,168.6
0500110000000006010720,05001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.205270418045384,77.0,60.0,5.0,1.0,62.0,15.0,0.0,0.0,118.4,107.7,2.0,0.0,60.0,0.0,0.0,0.0,0.0,,9.4
0500110000000006010801,05001,1,81.0,79.0,79.0,63.0,8.0,0.0,0.0,0.0,0.0,249.0,0.20339016127888443,74.0,74.0,0.0,0.0,57.0,17.0,3.0,3.0,130.1,125.2,2.0,0.0,74.0,0.0,0.0,0.0,0.0,0.91,363.8
0500110000000006010802,05001,1,43.0,36.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,108.0,0.1409676880584667,37.0,37.0,0.0,0.0,30.0,7.0,0.0,0.0,142.2,123.7,2.0,0.0,37.0,0.0,0.0,0.0,0.0,0.86,262.5
0500110000000006010803,05001,1,55.0,46.0,45.0,0.0,44.0,1.0,0.0,0.0,0.0,127.0,0.13836160207974715,43.0,43.0,0.0,0.0,20.0,23.0,7.0,0.0,125.7,122.4,2.0,0.0,43.0,0.0,0.0,0.0,0.0,0.78,310.8
0500110000000006010804,05001,1,28.0,19.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,66.0,0.13346392937341978,41.0,41.0,0.0,0.0,19.0,22.0,0.0,0.0,132.8,126.7,2.0,0.0,41.0,0.0,0.0,0.0,0.0,1.46,307.2
0500110000000006010805,05001,1,44.0,29.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,90.0,0.12367435029594073,37.0,37.0,0.0,0.0,16.0,21.0,0.0,0.0,169.4,142.4,2.0,0.0,37.0,0.0,0.0,0.0,0.0,0.84,299.2
0500110000000006010806,05001,1,40.0,40.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,114.0,0.10080541754995134,34.0,33.0,1.0,0.0,8.0,26.0,0.0,0.0,151.0,128.5,2.0,0.0,33.0,0.0,0.0,0.0,0.0,0.85,337.3
0500110000000006010807,05001,1,36.0,37.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,104.0,0.1264900259232806,40.0,40.0,0.0,0.0,24.0,16.0,0.0,0.0,119.3,122.3,2.0,0.0,40.0,0.0,0.0,0.0,0.0,1.11,316.2
0500110000000006010808,05001,1,47.0,45.0,45.0,0.0,45.0,0.0,0.0,0.0,0.0,140.0,0.17516152002818414,51.0,51.0,0.0,0.0,27.0,24.0,18.0,18.0,139.1,125.8,2.0,0.0,51.0,0.0,0.0,0.0,0.0,1.09,291.2
0500110000000006010809,05001,1,53.0,49.0,49.0,0.0,44.0,5.0,0.0,0.0,0.0,158.0,0.1523355587298393,51.0,51.0,0.0,0.0,20.0,31.0,12.0,0.0,125.0,113.3,2.0,0.0,51.0,0.0,0.0,0.0,0.0,0.96,334.8
0500110000000006010810,05001,1,21.0,16.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,52.0,0.05438206319867202,21.0,20.0,1.0,0.0,10.0,11.0,0.0,0.0,120.3,128.6,2.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,386.2
0500110000000006010902,05001,1,13.0,10.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,32.0,0.04098559819582523,17.0,15.0,1.0,1.0,2.0,15.0,0.0,0.0,109.2,103.2,2.0,0.0,15.0,0.0,0.0,0.0,0.0,1.31,414.8
0500110000000006010904,05001,1,47.0,46.0,44.0,0.0,19.0,25.0,0.0,0.0,0.0,144.0,0.12708028990090564,39.0,38.0,1.0,0.0,20.0,19.0,7.0,7.0,136.4,128.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0.83,306.9
0500110000000006010906,05001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060515645019465124,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,157.3,157.3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,49.6
0500110000000006010907,05001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21240652096326343,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,195.6,195.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,9.4
0500110000000006010908,05001,1,15.0,14.0,14.0,13.0,1.0,0.0,0.0,0.0,0.0,31.0,0.024846592575313877,9.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,91.2,84.3,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.6,362.2
